Title,Author,Published
"The Picture of Dorian Gray","Oscar Wilde",1890
"An Occurrence at Owl Creek Bridge","Ambrose Bierce",1890
"The Sign of the Four","Arthur Conan Doyle",1890
"The Adventures of Sherlock Holmes","Arthur Conan Doyle",1892
"The Yellow Wallpaper","Charlotte Perkins Gilman",1892
"The Jungle Book","Rudyard Kipling",1894
"Les Misérables","Victor Hugo",1895
"The Time Machine","H. G. Wells",1895
"The Importance of Being Earnest: A Trivial Comedy for Serious People","Oscar Wilde",1895
"Also sprach Zarathustra","Friedrich Wilhelm Nietzsche",1896
"Dracula","Bram Stoker",1897
"The Turn of the Screw","Henry James",1898
"The War of the Worlds","H. G. Wells",1898
"The Awakening, and Selected Short Stories","Kate Chopin",1899
"Heart of Darkness","Joseph Conrad",1899
